23-е небо;5373;0.03;10.06;28.13;9.81;-0.04;-0.14;1.00;
23-е небо;5463;0.21;10.06;28.13;9.81;-0.04;-0.15;1.00;
23-е небо;5562;0.07;10.06;28.15;9.81;-0.04;-0.15;1.01;
23-е небо;5660;0.08;10.06;28.14;9.81;-0.04;-0.15;1.00;
23-е небо;5760;0.32;10.06;28.15;9.81;-0.04;-0.15;1.00;
23-е небо;5858;0.08;10.06;28.15;9.81;-0.04;-0.15;1.00;
23-е небо;5957;-0.11;10.06;28.15;9.81;-0.04;-0.15;1.00;
Феникс;5378;0.07;10.06;28.73;9.81;-0.20;-0.97;0.35;
Феникс;5433;-0.06;10.06;28.75;9.81;-0.20;-0.88;0.37;
Феникс;5493;-0.06;10.06;28.75;9.81;-0.22;-0.86;0.36;
Феникс;5555;-0.18;10.06;28.75;9.81;-0.21;-0.90;0.36;
Феникс;5617;-0.15;10.06;28.76;9.81;-0.17;-0.86;0.36;
Феникс;5679;-0.51;10.06;28.77;9.81;-0.19;-0.89;0.36;
Феникс;5741;0.01;10.06;28.77;9.81;-0.20;-0.91;0.33;
Феникс;5803;0.13;10.06;28.79;9.81;-0.21;-0.88;0.35;
Феникс;5864;-0.51;10.06;28.78;9.81;-0.20;-0.88;0.35;
Феникс;5926;-0.01;10.06;28.78;9.81;-0.23;-0.89;0.36;
Феникс;5989;0.01;10.06;28.79;9.81;-0.20;-0.88;0.36;
Феникс;6050;0.28;10.06;28.79;9.81;-0.20;-0.88;0.36;
Феникс;6112;-0.08;10.06;28.80;9.81;-0.21;-0.91;0.33;
Феникс;6174;-0.24;10.06;28.80;9.81;-0.20;-0.89;0.36;
Феникс;6237;-0.31;10.06;28.80;9.81;-0.22;-0.88;0.35;
Феникс;6299;-0.47;10.06;28.80;9.81;-0.20;-0.90;0.36;
Феникс;6362;-0.54;10.06;28.80;9.81;-0.20;-0.87;0.36;
Феникс;6424;-0.57;10.06;28.80;9.81;-0.21;-0.89;0.34;
Феникс;6487;-0.91;10.06;28.80;9.81;-0.21;-0.89;0.35;
Феникс;6549;-0.40;10.06;28.81;9.81;-0.19;-0.93;0.34;
Феникс;6610;-0.55;10.06;28.81;9.81;-0.17;-0.88;0.35;
Феникс;6673;-0.54;10.06;28.81;9.81;-0.21;-0.86;0.35;
Феникс;6735;-0.63;10.06;28.81;9.81;-0.20;-0.89;0.35;
Феникс;6798;-0.15;10.06;28.81;9.81;-0.21;-0.90;0.35;
Феникс;6860;-0.23;10.06;28.81;9.81;-0.21;-0.88;0.38;
